IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.65.181,4,2,0.50,197.50,0.00
172.65.18.143,4,2,0.50,197.67,0.00
172.67.127.26,4,2,0.50,197.67,0.00
104.24.68.16,4,2,0.50,197.78,0.00
104.25.171.111,4,2,0.50,197.86,0.00
104.18.56.233,4,2,0.50,197.87,0.00
172.67.254.7,4,2,0.50,197.88,0.00
172.67.255.188,4,2,0.50,197.88,0.00
172.67.224.46,4,2,0.50,197.88,0.00
172.67.126.12,4,2,0.50,197.92,0.00
172.66.128.46,4,2,0.50,197.94,0.00
172.67.231.117,4,2,0.50,198.02,0.00
172.66.173.138,4,2,0.50,198.03,0.00
104.21.206.19,4,2,0.50,198.05,0.00
104.24.253.229,4,2,0.50,198.11,0.00
172.67.148.125,4,2,0.50,198.19,0.00
104.22.64.120,4,2,0.50,198.31,0.00
104.25.196.236,4,2,0.50,198.33,0.00
172.65.158.108,4,2,0.50,198.34,0.00
104.24.44.193,4,2,0.50,198.38,0.00
104.24.247.105,4,2,0.50,198.46,0.00
104.27.114.5,4,2,0.50,198.65,0.00
172.67.236.188,4,2,0.50,198.75,0.00
104.18.176.81,4,2,0.50,198.77,0.00
104.25.35.223,4,2,0.50,199.02,0.00
104.27.29.112,4,2,0.50,199.10,0.00
172.67.226.126,4,2,0.50,199.13,0.00
104.24.244.9,4,2,0.50,199.16,0.00
104.24.158.190,4,2,0.50,199.23,0.00
104.16.172.43,4,2,0.50,199.27,0.00
104.24.200.4,4,2,0.50,199.33,0.00
104.26.0.209,4,2,0.50,199.44,0.00
172.64.102.167,4,2,0.50,199.45,0.00
104.27.121.170,4,2,0.50,199.55,0.00
104.22.54.235,4,2,0.50,199.61,0.00
172.67.189.151,4,2,0.50,199.72,0.00
104.18.79.192,4,2,0.50,199.78,0.00
104.18.68.94,4,2,0.50,199.78,0.00
104.18.63.88,4,2,0.50,199.78,0.00
104.27.122.161,4,2,0.50,199.81,0.00
104.27.116.175,4,2,0.50,199.86,0.00
104.25.223.53,4,2,0.50,199.91,0.00
172.65.28.129,4,2,0.50,200.09,0.00
104.25.228.178,4,2,0.50,200.15,0.00
172.67.227.45,4,2,0.50,200.20,0.00
104.24.228.245,4,2,0.50,200.21,0.00
104.18.191.37,4,2,0.50,200.24,0.00
172.65.140.76,4,2,0.50,200.37,0.00
104.16.174.33,4,2,0.50,200.48,0.00
104.20.196.57,4,2,0.50,200.53,0.00
104.24.53.59,4,2,0.50,200.78,0.00
172.65.153.138,4,2,0.50,200.79,0.00
104.22.47.86,4,2,0.50,200.82,0.00
172.65.143.203,4,2,0.50,200.84,0.00
172.65.9.61,4,2,0.50,200.85,0.00
104.27.111.107,4,2,0.50,200.92,0.00
104.18.204.107,4,2,0.50,201.02,0.00
172.65.59.74,4,2,0.50,201.04,0.00
104.21.26.127,4,2,0.50,201.06,0.00
104.25.195.179,4,2,0.50,201.27,0.00
172.67.229.110,4,2,0.50,201.33,0.00
104.20.180.172,4,2,0.50,201.36,0.00
172.64.206.157,4,2,0.50,201.45,0.00
104.27.112.55,4,2,0.50,201.55,0.00
172.67.168.138,4,2,0.50,201.66,0.00
172.65.144.82,4,2,0.50,201.74,0.00
104.18.217.216,4,2,0.50,201.82,0.00
104.20.237.136,4,2,0.50,201.85,0.00
104.27.205.72,4,2,0.50,201.89,0.00
172.65.91.29,4,2,0.50,201.94,0.00
104.20.104.103,4,2,0.50,202.00,0.00
104.21.125.180,4,2,0.50,202.03,0.00
104.24.42.227,4,2,0.50,202.06,0.00
104.18.57.65,4,2,0.50,202.12,0.00
104.18.61.93,4,2,0.50,202.23,0.00
104.21.39.177,4,2,0.50,202.32,0.00
172.66.165.198,4,2,0.50,202.35,0.00
172.65.39.168,4,2,0.50,202.46,0.00
104.18.36.6,4,2,0.50,202.65,0.00
172.65.3.193,4,2,0.50,202.66,0.00
104.24.232.14,4,2,0.50,202.68,0.00
104.24.13.1,4,2,0.50,202.75,0.00
104.21.212.107,4,2,0.50,202.80,0.00
172.66.147.128,4,2,0.50,202.82,0.00
104.18.64.249,4,2,0.50,203.04,0.00
104.18.48.14,4,2,0.50,203.31,0.00
104.25.191.65,4,2,0.50,203.36,0.00
172.67.244.16,4,2,0.50,203.37,0.00
104.18.69.170,4,2,0.50,203.40,0.00
104.26.3.42,4,2,0.50,203.48,0.00
104.24.20.168,4,2,0.50,203.63,0.00
104.18.179.23,4,2,0.50,203.97,0.00
104.25.194.2,4,2,0.50,204.00,0.00
104.18.188.24,4,2,0.50,204.24,0.00
104.20.176.160,4,2,0.50,204.27,0.00
172.65.31.130,4,2,0.50,204.45,0.00
172.65.96.240,4,2,0.50,204.51,0.00
104.18.135.235,4,2,0.50,204.67,0.00
172.65.193.211,4,2,0.50,204.68,0.00
104.20.178.122,4,2,0.50,204.71,0.00
104.18.213.193,4,2,0.50,204.72,0.00
172.66.160.143,4,2,0.50,204.74,0.00
172.64.168.113,4,2,0.50,204.75,0.00
104.18.38.147,4,2,0.50,204.92,0.00
104.25.17.62,4,2,0.50,205.06,0.00
104.31.16.94,4,2,0.50,205.08,0.00
172.67.214.97,4,2,0.50,205.14,0.00
104.22.63.166,4,2,0.50,205.18,0.00
172.67.163.50,4,2,0.50,205.32,0.00
104.27.113.16,4,2,0.50,205.42,0.00
172.67.152.159,4,2,0.50,205.45,0.00
104.18.32.141,4,2,0.50,205.45,0.00
172.66.131.208,4,2,0.50,205.48,0.00
172.65.130.139,4,2,0.50,205.63,0.00
104.21.23.204,4,2,0.50,205.73,0.00
104.21.101.89,4,2,0.50,205.73,0.00
172.67.222.85,4,2,0.50,205.83,0.00
172.65.27.198,4,2,0.50,205.89,0.00
104.18.184.123,4,2,0.50,205.92,0.00
172.65.36.49,4,2,0.50,205.97,0.00
104.16.179.203,4,2,0.50,206.01,0.00
104.24.60.161,4,2,0.50,206.17,0.00
104.18.31.203,4,2,0.50,206.32,0.00
104.20.186.109,4,2,0.50,206.40,0.00
104.16.186.96,4,2,0.50,206.42,0.00
104.16.225.131,4,2,0.50,206.57,0.00
104.18.58.0,4,2,0.50,206.66,0.00
104.18.107.244,4,2,0.50,206.70,0.00
104.25.192.58,4,2,0.50,206.84,0.00
104.16.191.204,4,2,0.50,207.27,0.00
172.65.166.239,4,2,0.50,207.28,0.00
104.24.86.89,4,2,0.50,207.45,0.00
104.20.18.3,4,2,0.50,207.53,0.00
172.65.8.129,4,2,0.50,207.54,0.00
104.18.138.125,4,2,0.50,207.57,0.00
104.21.58.56,4,2,0.50,207.58,0.00
172.65.41.110,4,2,0.50,207.76,0.00
104.26.11.210,4,2,0.50,207.94,0.00
104.18.50.80,4,2,0.50,208.63,0.00
